user_id,course_id,update_time,collect_status,commit_status,duration,click_times,score
20150600000000.0,1489700000000000.0,9/9/2019 03:33:10,NO,NO,364,4,67
19541800000000.0,1.26844e+18,16/6/2020 09:02:19,NO,NO,95,2,100
3918890000000.0,1747010000000000.0,29/6/2020 15:20:20,NO,NO,275,2,100
17748300000000.0,1515740000000000.0,10/9/2018 03:13:24,NO,NO,479,2,75
15846000000000.0,1720730000000000.0,3/10/2019 02:03:20,NO,NO,26,2,33
18081400000000.0,1463820000000000.0,31/3/2020 04:39:15,NO,NO,70,3,100
2965770000000.0,1219330000000000.0,24/6/2020 23:58:12,NO,NO,350,3,40
18381500000000.0,1239550000000000.0,12/2/2020 04:36:14,NO,NO,29,2,100
6566560000000.0,1.21772e+18,11/9/2020 02:31:15,NO,NO,243,2,0
6915960000000.0,129901000000000.0,26/7/2019 04:27:36,NO,NO,944,2,100
20597200000000.0,1.29384e+18,29/8/2020 07:00:21,NO,NO,1655,4,60
12566300000000.0,129901000000000.0,9/7/2019 14:36:06,NO,NO,58,2,100
9497790000000.0,1281460000000000.0,24/3/2019 07:54:55,NO,NO,27170,2,100
20647800000000.0,1.30105e+18,2/9/2020 06:58:40,NO,NO,245,3,50
3122950000000.0,415129000000000.0,18/11/2018 17:12:01,NO,NO,2547,15,0
18585700000000.0,1739300000000000.0,24/11/2019 02:01:08,NO,NO,33,2,0
3936100000000.0,1446500000000000.0,30/11/2018 07:33:11,NO,NO,2690,0,0
16799000000000.0,162062000000000.0,19/12/2019 09:22:58,NO,NO,16,0,0
16522900000000.0,1392080000000000.0,11/2/2020 10:10:56,NO,NO,31,3,100
13610500000000.0,1852710000000000.0,20/1/2019 12:53:13,NO,NO,378,1,0
3604840000000.0,1100060000000000.0,26/12/2017 10:51:11,NO,NO,398,0,0
18731400000000.0,166977000000000.0,5/3/2018 13:20:37,NO,NO,162,3,100
2398700000000.0,1.29412e+18,24/8/2020 09:18:07,NO,NO,550,3,100
16812200000000.0,1846950000000000.0,30/8/2018 03:25:45,NO,NO,224,2,100
18710800000000.0,160429000000000.0,11/10/2018 18:09:30,NO,NO,0,1,0
2128910000000.0,1.13872e+18,19/1/2020 06:46:55,NO,NO,1384,1,0
13024200000000.0,1506180000000000.0,30/6/2020 06:02:29,YES,NO,5,2,100
18221100000000.0,1928970000000000.0,26/3/2019 07:16:19,NO,NO,355,2,33
4942300000000.0,845957000000000.0,27/11/2019 06:40:36,NO,NO,3500,14,0
5913620000000.0,1596880000000000.0,13/12/2017 09:14:29,NO,NO,225,0,0
19713900000000.0,1233310000000000.0,28/9/2018 16:24:46,NO,NO,486,0,0
9036610000000.0,1927750000000000.0,20/10/2018 09:30:57,NO,NO,122,0,0
4455430000000.0,1385240000000000.0,8/4/2019 07:57:57,NO,NO,637,2,100
19559900000000.0,327787000000000.0,31/12/2019 10:12:46,NO,NO,2620,2,0
18586900000000.0,1.12569e+18,6/12/2019 01:59:06,NO,NO,1960,3,0
14365300000000.0,1283180000000000.0,20/3/2019 00:14:55,NO,NO,996,4,100
4203900000000.0,1512770000000000.0,12/2/2020 06:47:02,NO,NO,138,2,70
3918890000000.0,116162000000000.0,25/6/2020 12:42:33,NO,NO,285,3,60
10347900000000.0,1887930000000000.0,21/11/2018 09:33:36,NO,NO,56,3,50
12846800000000.0,1271360000000000.0,13/7/2019 13:57:13,NO,NO,700,2,100
2772650000000.0,1409230000000000.0,21/12/2018 09:49:41,NO,NO,2084,6,0
3482920000000.0,1219800000000000.0,6/3/2019 04:39:36,NO,NO,39,3,67
6686860000000.0,1.21547e+18,21/9/2020 02:48:01,NO,NO,184,8,0
14270000000000.0,808108000000000.0,16/1/2020 03:02:48,NO,NO,2548,2,0
7702250000000.0,1741200000000000.0,17/6/2020 00:04:11,NO,NO,150,2,100
1758930000000.0,377921000000000.0,21/12/2019 04:18:50,NO,NO,1285,1,0
15615900000000.0,1.23839e+18,26/3/2020 15:41:03,NO,NO,128,2,0
7941080000000.0,1692220000000000.0,10/5/2018 07:48:53,NO,NO,264,2,100
